avg_perplexity: 2291.8510642239726
['chapter i\n', 69.37028463375209]
[' personpronoun never heard personpronoun speak ill of articlehere human being in my life\n', 1425.6971719522146]
[' personpronoun would wish not to be hasty in censuring indefpronoun indefpronoun but personpronoun always speak interpronoun personpronoun think\n', 617.6534711437722]
[' personpronoun know personpronoun do and personpronoun is demonpronoun interpronoun makes articlehere wonder\n', 771.076714750482]
[' with your good sense to be so honestly blind to articlehere follies and nonsense of others\n', 1705.093809893503]
[' affectation of candour is common enough indefpronoun meets personpronoun every where\n', 1725.8762914809754]
[' and so personpronoun like demonpronoun man s sisters too do you\n', 584.4169213901688]
[' their manners are not equal to his\n', 2162.997152633833]
[' certainly not at first\n', 205.02138924315224]
[' miss bingley is to live with thirdpronoun brother and keep possespronoun house and personpronoun am much mistaken if personpronoun shall not find articlehere very charming neighbour in her\n', 1660.5405293604185]
[' elizabeth listened in silence but was not convinced their behaviour at articlehere assembly had not been calculated to please in general and with more quickness of observation and less pliancy of temper than thirdpronoun sister and with articlehere judgment too unassailed by indefpronoun attention to reflexpronoun personpronoun was very little disposed to approve them\n', 2783.5889203924585]
[' personpronoun were in fact very fine ladies not deficient in good humour when personpronoun were pleased nor in articlehere power of being agreeable where personpronoun chose personpronoun but proud and conceited\n', 3061.7475658363746]
[' personpronoun were rather handsome had been educated in indefpronoun of articlehere first private seminaries in town had articlehere fortune of twenty thousand pounds were in articlehere habit of spending more than personpronoun ought and of associating with people of rank and were therefore in every respect entitled to think well of reflexpronoun and meanly of others\n', 2448.52929732908]
[' personpronoun were of articlehere respectable family in articlehere north of england articlehere circumstance more deeply impressed on their memories than demonpronoun their brother s fortune and their own had been acquired by trade\n', 1500.776382313319]
[' addressform bingley inherited property to articlehere amount of nearly articlehere hundred thousand pounds from possespronoun father interpronoun had intended to purchase articlehere estate but did not live to do it\n', 2668.0865405042505]
[' addressform bingley intended personpronoun likewise and sometimes made choice of possespronoun county but as personpronoun was now provided with articlehere good house and articlehere liberty of articlehere manor personpronoun was doubtful to indefpronoun of demonpronoun interpronoun best knew articlehere easiness of possespronoun temper whether personpronoun might not spend articlehere remainder of possespronoun days at netherfield and leave articlehere next generation to purchase\n', 2272.004806636933]
[' possespronoun sisters were very anxious for possespronoun having articlehere estate of possespronoun own but though personpronoun was now established only as articlehere tenant miss bingley was by no means unwilling to preside at possespronoun table nor was addressform hurst interpronoun had married articlehere man of more fashion than fortune less disposed to consider possespronoun house as thirdpronoun home when personpronoun suited her\n', 3959.0678662544688]
[' addressform bingley had not been of age two years when personpronoun was tempted by articlehere accidental recommendation to look at netherfield house\n', 2218.0497775107206]
[' personpronoun did look at personpronoun and into personpronoun for half articlehere hour was pleased with articlehere situation and articlehere principal rooms satisfied with interpronoun articlehere owner said in possespronoun praise and took personpronoun immediately\n', 1812.2720339604596]
[' bingley was endeared to darcy by articlehere easiness openness ductility of possespronoun temper though no disposition could offer articlehere greater contrast to possespronoun own and though with possespronoun own personpronoun never appeared dissatisfied\n', 2528.9576816719373]
[' on articlehere strength of darcy s regard bingley had articlehere firmest reliance and of possespronoun judgment articlehere highest opinion\n', 5569.363955981084]
[' in understanding darcy was articlehere superior\n', 995.2674342760071]
[' bingley was by no means deficient but darcy was clever\n', 876.6901254304216]
[' personpronoun was at articlehere same time haughty reserved and fastidious and possespronoun manners though well bred were not inviting\n', 5752.204997487932]
[' in demonpronoun respect possespronoun friend had greatly articlehere advantage\n', 2452.1607107393406]
[' bingley was sure of being liked wherever personpronoun appeared darcy was continually giving offence\n', 1262.3712010226573]
[' articlehere manner in interpronoun personpronoun spoke of articlehere meryton assembly was sufficiently characteristic\n', 4462.69876128355]
[' bingley had never met with pleasanter people or prettier girls in possespronoun life every body had been most kind and attentive to thirdpronoun there had been no formality no stiffness personpronoun had soon felt acquainted with indefpronoun articlehere room and as to miss bennet personpronoun could not conceive articlehere angel more beautiful\n', 2758.2393833165]
[' darcy on articlehere contrary had seen articlehere collection of people in interpronoun there was little beauty and no fashion for indefpronoun of interpronoun personpronoun had felt articlehere smallest interest and from indefpronoun received indefpronoun attention or pleasure\n', 1056.0454074992413]
[' miss bennet personpronoun acknowledged to be pretty but personpronoun smiled too much\n', 544.0389137082449]
[' addressform hurst and thirdpronoun sister allowed personpronoun to be so but still personpronoun admired thirdpronoun and liked thirdpronoun and pronounced thirdpronoun to be articlehere sweet girl and indefpronoun interpronoun personpronoun should not object to know more of\n', 1429.1855604949826]
[' miss bennet was therefore established as articlehere sweet girl and their brother felt authorised by such commendation to think of thirdpronoun as personpronoun chose\n', 2712.0034286690857]
[' within articlehere short walk of longbourn lived articlehere family with interpronoun articlehere bennets were particularly intimate\n', 978.0426607986136]
[' sir william lucas had been formerly in trade in meryton where personpronoun had made articlehere tolerable fortune and risen to articlehere honour of knighthood by articlehere address to articlehere king during possespronoun mayoralty\n', 2701.8441051705854]
[' articlehere distinction had perhaps been felt too strongly\n', 1175.9016322821285]
[' personpronoun had given thirdpronoun articlehere disgust to possespronoun business and to possespronoun residence in articlehere small market town and quitting thirdpronoun indefpronoun personpronoun had removed with possespronoun family to articlehere house about articlehere mile from meryton denominated from demonpronoun period lucas lodge where personpronoun could think with pleasure of possespronoun own importance and unshackled by business occupy reflexpronoun solely in being civil to indefpronoun articlehere world\n', 2680.182920054864]
[' for though elated by possespronoun rank personpronoun did not render thirdpronoun supercilious on articlehere contrary personpronoun was indefpronoun attention to every body\n', 1926.6743487633532]
[' james s had made thirdpronoun courteous\n', 1185.5421153465752]
[' lady lucas was articlehere very good kind of woman not too clever to be articlehere valuable neighbour to addressform bennet\n', 1801.4949757679387]
[' personpronoun had indefpronoun children\n', 47.40671392279225]
[' articlehere eldest of thirdpronoun articlehere sensible intelligent young woman about twenty seven was elizabeth s intimate friend\n', 4586.250402229466]
[' demonpronoun articlehere miss lucases and articlehere miss bennets should meet to talk over articlehere ball was absolutely necessary and articlehere morning after articlehere assembly brought articlehere former to longbourn to hear and to communicate\n', 4766.38625764835]
[' personpronoun began articlehere evening well charlotte said addressform bennet with civil self command to miss lucas\n', 1377.9341902050019]
[' personpronoun were addressform bingley s first choice\n', 265.38348862996]
[' personpronoun mean jane personpronoun suppose because personpronoun danced with thirdpronoun twice\n', 2287.4265670511572]
[' to be sure demonpronoun did seem as if personpronoun admired thirdpronoun indeed personpronoun rather believe personpronoun did personpronoun heard indefpronoun about personpronoun but personpronoun hardly know interpronoun indefpronoun about addressform robinson\n', 764.0447442906813]
